,stormid,year,month,day,hour,llon,ulon,llat,ulat,centlon,centlat,area,mean_olr
0,1459154.0,1999,6,1,0,358.72675,360.30624,10.14225,10.992752,360.30624,10.992752,8208,0.002403
1,1456429.0,1999,6,1,0,362.00723,364.19424,11.235752,12.32925,364.19424,12.32925,12960,0.001378
2,1460321.0,1999,6,1,0,366.01672,366.86725,10.263752,11.235752,366.86725,11.235752,6048,0.001985
3,1466022.0,1999,6,1,0,369.78323,371.60574,11.84325,12.450752,371.60574,12.450752,5904,0.001999
4,1465871.0,1999,6,1,0,349.37125,350.46472,11.478752,12.693752,350.46472,12.693752,7056,0.002224
5,1465854.0,1999,6,1,0,347.42725,348.64224,10.87125,12.08625,348.64224,12.08625,6048,0.002446
6,1465923.0,1999,6,1,0,353.98822,355.56775,10.62825,11.235752,355.56775,11.235752,6624,0.002055
7,1467859.0,1999,6,1,0,367.59622,369.29724,11.35725,12.693752,369.29724,12.693752,5760,0.000974
8,1468745.0,1999,6,1,0,348.76373,350.70773,11.964752,12.693752,350.70773,12.693752,5760,0.001265
9,1467535.0,1999,6,1,0,353.50223,355.32474,11.84325,12.936752,355.32474,12.936752,7200,0.002198
10,1468387.0,1999,6,1,0,349.37125,351.07224,9.048752,10.020752,351.07224,10.020752,8496,0.002220
11,1468374.0,1999,6,1,0,346.57672,348.64224,9.89925,11.11425,348.64224,11.11425,10800,0.002021
12,1460279.0,1999,6,1,0,355.44623,357.63324,13.30125,14.637753,357.63324,14.637753,11376,0.002365
13,1461444.0,1999,6,1,0,362.12872,364.19424,10.14225,10.749752,364.19424,10.749752,6768,0.002978
14,1462507.0,1999,6,1,0,360.54922,361.64273,9.534752,11.11425,361.64273,11.11425,8352,0.002033
15,1467979.0,1999,6,2,0,348.88522,349.85724,9.534752,10.87125,349.85724,10.87125,8064,0.002790
16,1470638.0,1999,6,2,0,357.14725,359.21274,8.562752,10.020752,359.21274,10.020752,10224,0.001993
17,1475063.0,1999,6,2,0,366.38123,368.44672,10.506752,11.235752,368.44672,11.235752,5040,0.001710
18,1475011.0,1999,6,2,0,357.02573,359.57724,13.908752,14.3947525,359.57724,14.3947525,8064,0.001756
19,1476135.0,1999,6,2,0,366.25974,367.96072,9.41325,10.14225,367.96072,10.14225,5760,0.002100
20,1477005.0,1999,6,2,0,356.41824,358.24072,13.5442505,14.151752,358.24072,14.151752,5328,0.001770
21,1470616.0,1999,6,2,0,349.61423,350.70773,11.964752,12.936752,350.70773,12.936752,5760,0.001262
22,1480929.0,1999,6,3,0,351.80124,352.77322,15.123753,16.46025,352.77322,16.46025,7632,0.001796
23,1482576.0,1999,6,3,0,349.97873,350.82922,15.366753,16.581753,350.82922,16.581753,5328,0.002195
24,1483698.0,1999,6,3,0,356.41824,358.84824,12.32925,13.30125,358.84824,13.30125,10944,0.001784
25,1483118.0,1999,6,3,0,358.84824,360.79224,12.936752,13.5442505,360.79224,13.5442505,6336,0.001914
26,1484046.0,1999,6,3,0,347.91324,348.88522,13.908752,14.637753,348.88522,14.637753,5472,0.002428
