,stormid,year,month,day,hour,llon,ulon,llat,ulat,centlon,centlat,area,mean_olr
0,1045577.0,1997,6,1,0,350.46472,351.55823,10.749752,11.60025,351.55823,11.60025,5616,0.003249
1,1044080.0,1997,6,1,0,353.38074,354.96024,11.235752,12.450752,354.96024,12.450752,9360,0.002432
2,1046568.0,1997,6,1,0,354.59573,355.68924,12.693752,13.5442505,355.68924,13.5442505,6768,0.002259
3,1044071.0,1997,6,1,0,352.89474,353.86673,11.478752,12.207752,353.86673,12.207752,5328,0.001842
4,1038117.0,1997,6,1,0,359.33423,360.30624,11.11425,12.81525,360.30624,12.81525,10080,0.002128
5,1040380.0,1997,6,1,0,357.87622,359.57724,10.87125,13.05825,359.57724,13.05825,13392,0.001949
6,1046903.0,1997,6,1,0,352.04422,353.01624,10.263752,10.992752,353.01624,10.992752,5040,0.004876
7,1041138.0,1997,6,1,0,358.36224,359.09125,10.749752,11.964752,359.09125,11.964752,6480,0.001973
8,1047441.0,1997,6,2,0,346.69824,348.03473,9.534752,10.263752,348.03473,10.263752,6912,0.002824
9,1052677.0,1997,6,2,0,356.78275,357.99774,14.3947525,15.123753,357.99774,15.123753,5472,0.002111
10,1051013.0,1997,6,2,0,365.89523,368.08224,9.65625,10.62825,368.08224,10.62825,6768,0.002347
11,1049245.0,1997,6,2,0,341.83823,345.36172,8.68425,10.38525,345.36172,10.38525,26784,0.002950
12,1053072.0,1997,6,2,0,356.90424,357.99774,13.5442505,14.3947525,357.99774,14.3947525,5184,0.003148
13,1046669.0,1997,6,2,0,346.81973,348.03473,9.89925,10.506752,348.03473,10.506752,5184,0.003787
14,1046891.0,1997,6,2,0,349.24973,351.55823,9.048752,10.263752,351.55823,10.263752,11376,0.003304
15,1059437.0,1997,6,3,0,359.33423,360.79224,13.179752,14.030251,360.79224,14.030251,6624,0.001530
16,1058399.0,1997,6,3,0,361.88574,363.58673,11.478752,12.32925,363.58673,12.32925,5328,0.001746
17,1058370.0,1997,6,3,0,356.29672,357.14725,9.41325,10.14225,357.14725,10.14225,5184,0.002856
18,1059759.0,1997,6,3,0,353.74524,355.81073,9.048752,10.14225,355.81073,10.14225,11808,0.005256
19,1059406.0,1997,6,3,0,354.47424,355.56775,14.3947525,15.366753,355.56775,15.366753,7056,0.002263
20,1059493.0,1997,6,3,0,373.54974,374.88623,11.60025,12.57225,374.88623,12.57225,6624,0.001965
21,1060785.0,1997,6,3,0,357.39023,358.84824,12.08625,12.936752,358.84824,12.936752,6624,0.002303
22,1054250.0,1997,6,3,0,354.83875,355.81073,9.89925,10.87125,355.81073,10.87125,5472,0.002608
23,1062092.0,1997,6,4,0,354.59573,356.05374,10.87125,12.08625,356.05374,12.08625,11664,0.001946
24,1065700.0,1997,6,4,0,351.43674,353.01624,14.151752,14.880753,353.01624,14.880753,8784,0.001871
25,1066052.0,1997,6,4,0,371.72723,372.94223,13.665752,14.516251,372.94223,14.516251,5616,0.002715
26,1062436.0,1997,6,4,0,351.55823,353.01624,10.749752,11.721752,353.01624,11.721752,6192,0.002485
27,1061597.0,1997,6,4,0,355.08173,356.53973,8.805752,10.263752,356.53973,10.263752,11520,0.003698
28,1067327.0,1997,6,4,0,370.99823,371.84872,13.179752,14.880753,371.84872,14.880753,10224,0.002579
29,1064416.0,1997,6,4,0,372.09174,374.27875,12.81525,14.759251,374.27875,14.759251,24768,0.002481
30,1061348.0,1997,6,4,0,353.25925,354.71722,12.693752,13.5442505,354.71722,13.5442505,5616,0.002098
31,1071228.0,1997,6,5,0,348.15622,349.49274,11.721752,12.693752,349.49274,12.693752,8352,0.002432
32,1071282.0,1997,6,5,0,361.39972,362.49323,10.87125,11.60025,362.49323,11.60025,5184,0.002970
33,1067922.0,1997,6,5,0,363.70822,365.28772,9.291752,10.38525,365.28772,10.38525,8784,0.002777
34,1071287.0,1997,6,5,0,363.34372,364.43723,11.235752,11.964752,364.43723,11.964752,5328,0.001743
35,1074082.0,1997,6,6,0,365.65222,368.20374,14.030251,15.123753,368.20374,15.123753,15840,0.004439
36,1075849.0,1997,6,6,0,360.18472,361.15674,13.05825,14.273251,361.15674,14.273251,7200,0.002634
37,1075877.0,1997,6,6,0,364.19424,366.50275,11.964752,13.05825,366.50275,13.05825,10512,0.002239
38,1078470.0,1997,6,6,0,368.68973,369.90472,10.506752,11.35725,369.90472,11.35725,5472,0.001419
39,1075349.0,1997,6,6,0,370.14774,371.97025,10.14225,11.84325,371.97025,11.84325,15264,0.002954
40,1076758.0,1997,6,6,0,367.11023,368.68973,14.151752,15.123753,368.68973,15.123753,8784,0.001522
41,1075351.0,1997,6,6,0,368.32523,369.90472,15.609753,16.70325,369.90472,16.70325,7344,0.002334
42,1076905.0,1997,6,6,0,361.64273,362.97925,16.095753,17.31075,362.97925,17.31075,9648,0.003004
43,1076945.0,1997,6,6,0,370.14774,371.48422,10.62825,11.235752,371.48422,11.235752,6768,0.003098
44,1076475.0,1997,6,6,0,372.57773,373.54974,11.60025,12.207752,373.54974,12.207752,5328,0.002566
45,1078748.0,1997,6,6,0,370.51224,371.48422,8.92725,10.020752,371.48422,10.020752,5184,0.005094
46,1077668.0,1997,6,7,0,357.75473,359.33423,8.562752,10.263752,359.33423,10.263752,16704,0.003601
47,1079895.0,1997,6,7,0,365.16623,366.62424,11.60025,12.450752,366.62424,12.450752,8064,0.002282
48,1084063.0,1997,6,7,0,354.23123,355.44623,13.7872505,14.759251,355.44623,14.759251,5040,0.002130
49,1083072.0,1997,6,7,0,355.08173,356.29672,10.749752,12.08625,356.29672,12.08625,8208,0.002104
50,1083422.0,1997,6,7,0,356.66122,357.87622,13.7872505,14.759251,357.87622,14.759251,5760,0.001507
51,1081441.0,1997,6,7,0,359.94174,362.61475,10.263752,12.936752,362.61475,12.936752,30960,0.002283
52,1084100.0,1997,6,7,0,363.22223,364.68024,10.749752,11.60025,364.68024,11.60025,7200,0.003010
53,1083148.0,1997,6,7,0,372.45624,374.76474,10.14225,10.749752,374.76474,10.749752,5616,0.002460
54,1081981.0,1997,6,7,0,358.48373,360.30624,11.721752,12.81525,360.30624,12.81525,6480,0.002419
55,1082516.0,1997,6,7,0,354.71722,355.44623,12.57225,13.5442505,355.44623,13.5442505,5184,0.002878
56,1082559.0,1997,6,7,0,360.91373,362.85773,10.62825,11.235752,362.85773,11.235752,5184,0.002422
57,1081454.0,1997,6,7,0,372.69922,374.03574,9.534752,10.020752,374.03574,10.020752,5472,0.003515
58,1085164.0,1997,6,7,0,358.84824,359.94174,12.693752,13.5442505,359.94174,13.5442505,5904,0.001940
59,1085014.0,1997,6,7,0,356.78275,357.87622,14.637753,16.338753,357.87622,16.338753,6336,0.002647
60,1079191.0,1997,6,7,0,368.81122,369.90472,11.11425,12.207752,369.90472,12.207752,6336,0.001543
61,1079077.0,1997,6,7,0,358.60522,359.69873,16.824749,17.918251,359.69873,17.918251,6480,0.001199
62,1091877.0,1997,6,8,0,349.97873,351.31525,10.87125,11.721752,351.31525,11.721752,5616,0.002779
63,1091422.0,1997,6,8,0,351.55823,352.65173,11.478752,12.450752,352.65173,12.450752,5040,0.001867
64,1090041.0,1997,6,8,0,368.44672,370.26923,9.291752,10.14225,370.26923,10.14225,6192,0.004079
65,1093301.0,1997,6,8,0,351.19373,352.40872,12.450752,14.3947525,352.40872,14.3947525,9504,0.002131
66,1085801.0,1997,6,8,0,361.64273,362.61475,12.08625,12.693752,362.61475,12.693752,5184,0.002468
67,1086048.0,1997,6,8,0,353.01624,354.59573,15.609753,16.94625,354.59573,16.94625,5760,0.002421
68,1097445.0,1997,6,9,0,350.82922,352.04422,9.534752,10.38525,352.04422,10.38525,5616,0.002478
69,1096280.0,1997,6,9,0,351.55823,352.77322,10.87125,12.450752,352.77322,12.450752,7632,0.002338
70,1103575.0,1997,6,10,0,351.31525,352.65173,13.665752,15.002251,352.65173,15.002251,9072,0.001503
71,1109642.0,1997,6,11,0,346.81973,348.39923,10.38525,11.235752,348.39923,11.235752,7344,0.005458
72,1109293.0,1997,6,11,0,364.80173,366.38123,15.002251,16.581753,366.38123,16.581753,12240,0.002698
73,1110299.0,1997,6,11,0,368.44672,370.14774,11.964752,12.81525,370.14774,12.81525,7632,0.002304
74,1108757.0,1997,6,11,0,366.13824,367.59622,16.581753,17.55375,367.59622,17.55375,6768,0.001832
75,1117147.0,1997,6,12,0,347.91324,348.76373,10.38525,11.478752,348.76373,11.478752,6048,0.001787
76,1118129.0,1997,6,12,0,369.54022,371.11972,13.05825,13.665752,371.11972,13.665752,5904,0.002348
77,1118413.0,1997,6,12,0,361.03522,362.37173,16.70325,17.18925,362.37173,17.18925,5328,0.001933
78,1114091.0,1997,6,12,0,353.62372,354.35272,13.05825,13.7872505,354.35272,13.7872505,5616,0.001891
79,1123512.0,1997,6,13,0,345.48325,347.30573,9.65625,11.235752,347.30573,11.235752,13104,0.002564
80,1124436.0,1997,6,13,0,347.06274,348.64224,10.38525,11.235752,348.64224,11.235752,7776,0.002525
81,1125707.0,1997,6,13,0,356.05374,358.48373,13.7872505,15.366753,358.48373,15.366753,11232,0.002736
82,1123551.0,1997,6,13,0,357.51172,358.84824,13.422752,14.3947525,358.84824,14.3947525,7056,0.002600
83,1123525.0,1997,6,13,0,348.64224,349.85724,10.62825,11.478752,349.85724,11.478752,5040,0.003398
84,1124011.0,1997,6,13,0,358.48373,359.69873,15.123753,15.974251,359.69873,15.974251,5184,0.002332
85,1123967.0,1997,6,13,0,349.61423,351.67975,9.048752,10.14225,351.67975,10.14225,9360,0.002383
86,1126753.0,1997,6,13,0,356.53973,357.51172,12.936752,13.7872505,357.51172,13.7872505,5328,0.003159
87,1127003.0,1997,6,13,0,357.63324,358.48373,12.936752,14.151752,358.48373,14.151752,5760,0.001833
88,1130406.0,1997,6,14,0,353.25925,354.47424,9.17025,10.38525,354.47424,10.38525,6912,0.002207
89,1131192.0,1997,6,14,0,356.78275,357.75473,11.964752,13.179752,357.75473,13.179752,5040,0.003365
